,keyword,view,menu,checkout,order
372,ranch dressing celery,24392,9431,4000,383
373,snek celery,36885,13151,5688,218
374,rau cần tây và sốt ranch,15706,6105,3423,332
375,sayuran ranch,15728,3529,1710,169
376,veggie sticks with ranch,25281,9922,3266,306
377,ranch dip,40218,10870,7126,382
378,ranch sauce,6180,1603,688,34
379,celery dengan ranch,37760,13894,5804,348
380,celery sauce snack,37508,6178,1789,157
381,ranch vegetable dip,28628,5721,3148,206
382,grilled chicken caesar salad,36575,7642,2431,124
383,chicken caesar salad,16570,6165,4038,225
384,caesar salad,26235,4324,2486,96
385,grilled caesar,20588,7950,2636,154
386,salad ayam panggang,21501,5831,2878,120
387,salad ayam caesar,32598,10728,3095,216
388,salad ayam,33049,7252,4802,300
389,salad dressing caesar,28254,5773,3210,119
390,grilled chicken salad,33405,12295,5200,406
391,gà nướng salad,7836,2750,710,53
392,caesar salad ayam bakar,10836,1668,1152,70
393,chicken salad caesar style,29484,8549,5908,474
394,ayam panggang caesar,8732,1671,503,42
395,salad ayam western,43693,12897,7183,434
396,salad klasik ayam,10507,2004,1280,73
397,ayam salad caesar,7174,1926,927,41
398,spicy salmon roll,1475,227,94,6
399,salmon maki,34332,13186,9118,667
400,spicy salmon sushi,23260,7405,3021,203
401,gulungan salmon pedas,4269,1273,777,76
402,sushi salmon pedas,17409,5373,1555,92
403,sushi gulung salmon,7531,2113,792,77
404,maki salmon pedas,6658,2641,792,27
405,spicy roll,31960,11322,2875,173
406,cá hồi cay cuộn,34709,5441,3126,243
407,sushi gulung pedas,29369,6263,3289,215
408,spicy sushi roll,11142,2776,911,69
409,salmon sushi,33358,5041,2897,275
410,spicy fish roll,47619,16576,10503,579
411,spicy salmon maki,9695,3542,2048,74
412,gulungan sushi salmon,6013,1630,411,16
413,maki pedas salmon,3670,1396,800,66
414,shoyu ramen,25066,5669,2991,138
415,soy sauce ramen,29042,11090,3287,258
416,ramen shoyu,43201,13004,4803,452
417,ramen kecap,22456,8709,3559,144
418,mie ramen shoyu,5456,948,586,42
419,ramen jepang shoyu,31385,9274,4370,304
420,ramen kuah kecap,41045,6553,4389,239
421,mì ramen shoyu,17873,5226,2718,266
422,ramen klasik,41999,11310,4229,286
423,ramen soy,25612,7697,2517,241
424,mie jepang shoyu,5953,1333,661,56
425,kuah shoyu ramen,39779,11687,6219,361
426,japanese shoyu ramen,13660,4561,2123,147
427,ramen rasa kecap asin,12345,4741,2392,178
428,ramen light broth,10473,2024,519,30
429,ramen dengan kecap asin,33978,12938,8271,414
430,unagi nigiri (2 pcs),10075,2118,1302,47
431,unagi sushi,9895,2106,624,26
432,grilled eel sushi,48235,17799,12150,1086
433,sushi belut,42561,11236,3184,129
434,sushi unagi,27896,9236,2658,190
435,unagi 2 pcs,1564,428,224,10
436,nigiri belut,44624,10701,5127,226
437,unagi 2 potong,39871,10432,4545,171
438,sushi jepang unagi,1159,342,99,4
439,eel sushi,40079,11694,4851,463
440,sushi belut panggang,47047,17546,5971,334
441,cá chình sushi,12384,3151,1069,104
442,unagi ikan,12677,4356,1756,69
443,sushi belut dua,24339,8942,2458,227
444,eel nigiri,45631,16552,5325,463
445,sushi unagi klasik,7842,2084,1183,111
446,unagi sushi jepang,5098,869,316,29
447,spicy tofu stew (soondubu),28371,6403,2847,182
448,soondubu,7299,1420,667,23
449,tofu soup,23518,5982,3329,231
450,spicy tofu soup,14068,3067,1784,108
451,jjigae tofu pedas,38904,10740,5025,188
452,sup tahu korea,43997,8035,4601,448
453,sup pedas tahu,7432,1748,1105,74
454,korean tofu stew,39823,7026,3127,159
455,mì đậu phụ cay,4000,1251,833,59
456,sundubu,49146,13935,4129,376
457,soondubu jjigae,39680,9939,6946,318
458,tahu pedas korea,17504,4671,1408,66
459,sup tahu pedas,14312,3577,1919,78
460,spicy soondubu,32059,5014,2479,165
461,korean stew tofu,28190,7266,2192,216
462,korean soup spicy,44490,13482,4597,272
463,tahu stew korea,2144,454,256,13
464,chili dog,5613,1873,687,28
465,hot dog chili,23791,8133,4341,343
466,hotdog dengan chili,44192,10130,5082,186
467,hotdog daging cincang,5480,1699,995,65
468,sosis chili,46919,17588,6426,421
469,chili sausage,36604,11663,5012,316
470,bánh mì xúc xích sốt cay,5764,995,283,11
471,chili beef hotdog,1897,331,175,11
472,hotdog sambal,41080,14220,7308,420
473,hotdog isi daging cincang,4185,927,622,48
474,chili frank,21171,3840,1649,88
475,hotdog pedas,23926,4502,2983,209
476,chili frankfurter,35683,12557,3299,211
477,chili cheese dog,13014,3613,2029,189
478,sosis dengan sambal,5595,1864,1263,114
479,hotdog saus chili,19779,3983,2436,230
480,pho ga (chicken pho),16658,3205,1292,88
481,pho ayam,35133,9390,5601,500
482,chicken pho,26764,4967,1846,126
483,vietnamese chicken noodles,17684,6890,3578,284
484,sup ayam vietnam,25318,4268,2966,181
485,mì phở gà,1823,481,170,11
486,pho chicken,35135,13721,6799,572
487,chicken noodle soup vietnam,47941,14654,4835,387
488,sup pho ayam,21962,4687,1912,173
489,ayam pho,7732,2637,1384,108
490,kuah pho ayam,928,370,140,9
491,pho gà,43949,11898,7414,733
492,soup vietnam ayam,4737,1704,1179,70
493,chicken rice noodle soup,44183,15024,7996,601
494,vietnamese pho,18349,5255,3108,156
495,ayam kuah pho,29706,9118,5376,364
496,pho ga asli,3991,1430,990,74
497,avocado cucumber roll,39552,11069,5254,268
498,veggie sushi,38669,10850,4822,259
499,sushi vegetarian,16266,5659,3115,157
500,gulungan timun alpukat,34629,7086,4424,182
501,sushi timun dan alpukat,47757,12147,4220,203
502,sushi sayuran,516,122,82,6
503,vegetarian sushi roll,24131,6850,3732,161
504,maki timun alpukat,30227,10889,7306,381
505,avocado sushi,30457,8394,4466,157
506,cucumber roll,48366,17124,8818,377
507,sushi timun,2041,749,349,12
508,bánh sushi bơ dưa chuột,11439,2678,716,70
509,cucumber avocado maki,36268,14132,6365,430
510,sushi vegetarian sehat,19051,6286,3649,344
511,vegan sushi,31858,7612,2652,154
512,gulungan sushi vegetarian,36132,9418,5127,456
513,fries,38403,7548,4455,387
514,french fries,4109,1483,384,22
515,kentang goreng,13966,4417,1366,47
516,kentang,29520,8752,5004,251
517,fried potatoes,16107,3217,865,53
518,crispy fries,31589,5356,3054,288
519,fast food fries,30697,8210,5031,374
520,shoestring fries,16509,6276,2076,128
521,kentang renyah,43828,14716,4631,167
522,potato fries,23061,7372,4726,195
523,fries snack,46451,15063,4597,425
524,kentang goreng renyah,15584,4941,2429,193
525,frites,5366,1652,876,41
526,khoai tây chiên,48179,17630,7880,499
527,kentang goreng crispy,9251,3133,1653,91
528,fries simple,38435,7468,2445,183
529,kentang goreng biasa,25691,4840,2975,247
530,side fries,49297,13488,8169,716
531,kentang goreng snack,14493,2925,1513,84
532,noodle stir fry with chicken,29068,8423,5034,206
533,chicken stir fry noodles,41774,12815,4818,346
534,mie goreng ayam,10630,2880,1600,98
535,mie ayam tumis,4565,1126,514,46
536,stir-fried noodles,46224,17603,7615,286
537,mie goreng,47004,8146,2763,157
538,hủ tiếu xào gà,47853,18591,11344,520
539,stir fry mie ayam,18240,5244,2017,120
540,stirfried chicken noodles,26613,6422,3224,195
541,fried noodles with chicken,47731,8293,3775,256
542,yakisoba ayam,27901,10284,6952,428
543,pancit canton with chicken,16114,5114,2659,178
544,noodle chicken dish,49544,16134,8451,582
545,mi xào gà,19459,5031,2633,114
546,mi goreng ayam pedas,22215,5105,1313,107
547,mi tumis ayam,21131,6441,3106,142
548,ayam mie goreng,43862,15397,4236,221
549,duck confit,13987,2739,1602,141
550,confit duck,47048,7127,4376,385
551,bebek confit,47230,14997,10449,990
552,bebek panggang,35752,5416,3415,335
553,duck leg confit,43737,15834,5327,368
554,slow cooked duck,11736,2659,1796,146
555,duck meat dish,8578,2482,1489,81
556,thịt vịt nấu chậm,3369,592,150,6
557,bebek empuk,20759,3267,1772,75
558,confit de canard,15470,3769,1504,108
559,duck gourmet,2513,865,557,29
560,roasted duck leg,43173,14672,4006,365
561,bebek rebus,17326,2710,1752,140
562,duck dish,22363,5969,2733,135
563,duck confit recipe,46554,11342,6921,599
564,duck cooked in fat,13551,4860,2200,99
565,itik confit,37610,11398,6406,243
566,hidangan bebek,2757,1037,377,20
567,falafel wrap,27051,6143,2709,230
568,vegetarian wrap,46300,7752,4191,180
569,chickpea wrap,34220,13121,4947,433
570,roti falafel,40101,12518,3388,186
571,bungkus falafel,27288,8172,4126,234
572,bánh mì falafel,10283,2292,961,65
573,falafel sandwich,11776,3994,1382,86
574,falafel roti gulung,42074,6651,3399,133
575,falafel pita,49625,10823,2811,227
576,pita falafel,31798,12052,6869,597
577,falafel vegetarian,19156,4687,2010,170
578,vegetarian middle eastern wrap,40265,8853,3262,199
579,gulungan sayur falafel,9190,2378,1163,98
580,falafel roll,13409,4096,2001,194
581,roti isi falafel,21947,7469,4431,228
582,vegan wrap,5631,1829,1133,108
583,roti falafel vegetarian,33868,9307,6212,317
584,blueberry pancakes,38267,9594,5771,508
585,pancakes blueberry,7508,1531,431,19
586,pancake buah,39376,12548,3932,249
587,pancake beri biru,21789,3927,1484,112
588,pancake bluberi,46180,16617,4463,420
589,blueberry flapjack,40607,12928,3765,334
590,pancake sarapan,36445,10743,4823,242
591,hotcakes blueberry,12923,2532,1221,117
592,bánh kếp việt quất,32265,6393,4105,337
593,blueberry hotcakes,978,356,239,19
594,pancake manis,26944,8009,3424,194
595,sarapan pancake buah,46461,10371,6521,508
596,fruit pancakes,12836,4028,2324,136
597,bluberi pancakes,13015,2317,1186,96
598,sweet pancakes,33673,12594,5146,442
599,pancake brunch,48628,9261,2447,143
600,strawberry frosted donut,35289,8066,3411,220
601,strawberry donut,47093,16724,10291,542
602,donut stroberi,17427,6154,4142,326
603,donat pink,12982,2884,1834,181
604,donut topping stroberi,19748,7427,3372,327
605,frosted donut,17641,4693,1293,128
606,pink donut,38060,6174,2100,153
607,glazed strawberry donut,42449,15756,6464,433
608,bánh donut dâu tây,31422,10420,3714,332
609,donat topping manis,42186,16704,6123,591
610,strawberry icing donut,2092,616,308,12
611,sweet strawberry donut,46559,13504,5528,289
612,donat glaze stroberi,25238,8895,2692,259
613,frosted doughnut,38939,14729,5146,252
614,donat warna pink,34217,10351,3922,252
615,donat manis,34247,7561,1893,178
616,stuffed grape leaves,10885,2321,1118,56
617,dolma,27386,7688,3352,261
618,grape leaves rice,42910,9173,4895,450
619,daun anggur isi,16618,4128,1159,105
620,vine leaves stuffed,16698,6642,3784,256
621,nasi dalam daun anggur,31799,5757,2493,121
622,rice stuffed grape leaves,5825,1599,686,68
623,bánh lá nho nhồi cơm,3836,1508,571,53
624,stuffed leaves,18615,3173,2202,92
625,middle eastern appetizer,36257,7165,3061,214
626,dolma daun anggur,48700,8664,5977,458
627,gulungan daun anggur,21655,3406,1516,97
628,daun anggur gulung,36856,10060,4606,210
629,stuffed vine leaves,24244,5660,3899,371
630,vegetarian dolma,37496,9377,3604,193
631,jeera rice,12457,4454,2331,104
632,cumin rice,25647,9493,3031,135
633,nasi jeera,48485,16643,6712,566
634,nasi jintan,39964,8130,2834,263
635,nasi rempah,17349,4720,3297,252
636,jeera pulao,1708,413,247,20
637,nasi dengan jintan,37674,14752,4984,419
638,beras jeera,19781,6554,3786,313
639,nasi india,35344,5641,1942,116
640,cơm jeera,2547,646,311,16
641,rice with cumin seeds,5506,1050,608,43
642,cumin flavored rice,32744,6693,4026,296
643,rice spice jeera,24723,6828,3446,211
644,jeera fragrant rice,29387,6193,3365,231
645,indian cumin rice,30975,5770,3580,163
646,nasi wangi jeera,28642,8418,3777,255
647,grilled asparagus,564,89,22,1
648,asparagus panggang,40134,10909,7362,261
649,sayur bakar asparagus,10851,2465,655,59
650,roasted asparagus,11170,3473,2103,196
651,grilled green vegetables,45280,10324,4298,263
652,grilled veggie,47900,8021,2520,143
653,asparagus grill,4921,1048,468,16
654,asparagus sayur panggang,6579,2172,1209,64
655,măng tây nướng,23963,9105,5841,401
656,panggang asparagus,27094,6588,4607,360
657,asparagus sehat,27566,9649,5446,221
658,grilled side veg,1122,200,65,3
659,asparagus roasted,23584,4529,2916,276
660,asparagus oven baked,4829,1228,669,52
661,asparagus dish,2534,475,267,15
662,garlic butter shrimp,36254,13404,8539,435
663,shrimp garlic butter,36117,6289,3987,232
664,udang mentega bawang putih,26706,9638,6189,451
665,udang garlic butter,2481,901,319,20
666,udang saus mentega,49766,12885,4638,429
